schema_version,technology,metric,unit,direction,low,central,high,year,source_id,notes
1.0,Nuclear,lifecycle_co2e,gco2e_kwh,lower_better,3.7,12,110,2014,ipcc_ar5,IPCC AR5 Annex III lifecycle median and range.
1.0,Nuclear,direct_deaths,deaths_per_twh,lower_better,0.01,0.03,0.07,2021,owid_deaths,Accident plus occupational deaths per TWh.
1.0,Nuclear,air_pollution_deaths,deaths_per_twh,lower_better,0.0,0.007,0.02,2021,owid_deaths,Near-zero combustion air pollution.
1.0,Nuclear,waste_persistence,index_0_15,lower_better,8,12,15,2022,unece_lca,Long-lived radioactive waste persistence index.
1.0,Nuclear,water_use,m3_mwh,lower_better,1.0,2.5,14,2022,unece_lca,Consumptive central; high reflects once-through cooling withdrawal.
1.0,Nuclear,land_use,m2_mwh,lower_better,0.3,1.0,1.8,2022,luderer_land,Direct plus fuel-cycle land footprint.
1.0,Nuclear,material_intensity,index_rel,lower_better,0.8,1.4,2.0,2019,pehl_material,Per-energy material index for steel/concrete/critical minerals.
1.0,Nuclear,construction_time,years,lower_better,5,7.5,12,2023,iea_proj,Typical reactor construction duration.
1.0,Nuclear,capacity_factor,fraction,higher_better,0.80,0.90,0.93,2023,eia_cf,Fleet average capacity factor.
1.0,Nuclear,grid_integration,index_0_1,higher_better,0.70,0.85,0.92,2023,nrel_grid,Dispatchable baseload integration score.
1.0,Nuclear,levelized_cost,usd_mwh,lower_better,141,182,221,2024,lazard_v17,Lazard LCOE v17 unsubsidized nuclear.
1.0,Nuclear,financing_risk,index_0_1,lower_better,0.45,0.60,0.75,2024,lazard_v17,High up-front capex and schedule risk.
1.0,Wind onshore,lifecycle_co2e,gco2e_kwh,lower_better,7,11,56,2014,ipcc_ar5,IPCC AR5 Annex III lifecycle median and range.
1.0,Wind onshore,direct_deaths,deaths_per_twh,lower_better,0.02,0.04,0.12,2021,owid_deaths,Construction and maintenance accidents per TWh.
1.0,Wind onshore,air_pollution_deaths,deaths_per_twh,lower_better,0.0,0.002,0.01,2021,owid_deaths,Negligible operational air pollution.
1.0,Wind onshore,waste_persistence,index_0_15,lower_better,0.5,0.8,1.5,2022,unece_lca,Blade landfill persistence; inert but bulky.
1.0,Wind onshore,water_use,m3_mwh,lower_better,0.0,0.1,0.3,2022,unece_lca,Minimal operational water use.
1.0,Wind onshore,land_use,m2_mwh,lower_better,0.2,0.5,1.5,2022,luderer_land,Direct turbine footprint excluding inter-turbine land.
1.0,Wind onshore,material_intensity,index_rel,lower_better,0.4,0.55,0.8,2019,pehl_material,Per-energy material index.
1.0,Wind onshore,construction_time,years,lower_better,1.0,2.0,3.0,2023,iea_proj,Site to commissioning.
1.0,Wind onshore,capacity_factor,fraction,higher_better,0.25,0.35,0.50,2023,eia_cf,Resource-dependent capacity factor.
1.0,Wind onshore,grid_integration,index_0_1,higher_better,0.40,0.55,0.70,2023,nrel_grid,Variable but partly dispatchable with storage.
1.0,Wind onshore,levelized_cost,usd_mwh,lower_better,27,50,73,2024,lazard_v17,Lazard LCOE v17 unsubsidized onshore wind.
1.0,Wind onshore,financing_risk,index_0_1,lower_better,0.30,0.40,0.55,2024,lazard_v17,Mature technology with moderate risk.
1.0,Wind offshore,lifecycle_co2e,gco2e_kwh,lower_better,8,12,35,2014,ipcc_ar5,IPCC AR5 Annex III lifecycle median and range.
1.0,Wind offshore,direct_deaths,deaths_per_twh,lower_better,0.02,0.04,0.12,2021,owid_deaths,Offshore construction accidents per TWh.
1.0,Wind offshore,air_pollution_deaths,deaths_per_twh,lower_better,0.0,0.002,0.01,2021,owid_deaths,Negligible operational air pollution.
1.0,Wind offshore,waste_persistence,index_0_15,lower_better,0.5,0.8,1.5,2022,unece_lca,Blade landfill persistence; inert but bulky.
1.0,Wind offshore,water_use,m3_mwh,lower_better,0.0,0.15,0.3,2022,unece_lca,Minimal operational water use.
1.0,Wind offshore,land_use,m2_mwh,lower_better,0.2,0.5,1.5,2022,luderer_land,Onshore grid and port footprint per energy.
1.0,Wind offshore,material_intensity,index_rel,lower_better,0.5,0.65,1.0,2019,pehl_material,Higher foundation and cabling material than onshore.
1.0,Wind offshore,construction_time,years,lower_better,2.0,3.2,5.0,2023,iea_proj,Longer marine construction.
1.0,Wind offshore,capacity_factor,fraction,higher_better,0.35,0.45,0.55,2023,eia_cf,Higher and steadier offshore winds.
1.0,Wind offshore,grid_integration,index_0_1,higher_better,0.45,0.60,0.72,2023,nrel_grid,Steadier than onshore but still variable.
1.0,Wind offshore,levelized_cost,usd_mwh,lower_better,74,106,139,2024,lazard_v17,Lazard LCOE v17 unsubsidized offshore wind.
1.0,Wind offshore,financing_risk,index_0_1,lower_better,0.40,0.50,0.65,2024,lazard_v17,Larger projects with higher execution risk.
1.0,Solar PV rooftop,lifecycle_co2e,gco2e_kwh,lower_better,26,41,60,2014,ipcc_ar5,IPCC AR5 Annex III lifecycle median and range.
1.0,Solar PV rooftop,direct_deaths,deaths_per_twh,lower_better,0.01,0.02,0.05,2021,owid_deaths,Installation falls dominate solar deaths.
